Constituency,State,Party
AJMER,Rajasthan,Aam Aadmi Party
ALWAR,Rajasthan,All India Anna Dravida Munnetra Kazhagam
AMBALA,Haryana,All India Majlis-E-Ittehadul Muslimeen
ANANTNAG-RAJOURI,Jammu & Kashmir,All India Trinamool Congress
ARAKKONAM,Tamil Nadu,Amma Makkal Munnettra Kazagam
ARANI,Tamil Nadu,Apna Dal (Soneylal)
Adilabad,Telangana,Assam Jatiya Parishad
Agra,Uttar Pradesh,Bharat Rashtra Samith
Ahmedabad East,Gujarat,Bharatiya Janata Party
Ahmedabad West,Gujarat,Biju Janata Dal
Ahmednagar,Maharashtra,Bodoland Peoples Front
Akbarpur,Uttar Pradesh,Citizen Action Party-Sikkim
Akola,Maharashtra,Communist Party of India (Marxist)
Alappuzha,Kerala,Desiya Murpokku Dravida Kazhagam
Alathur,Kerala,Independent
Aligarh,Uttar Pradesh,Indian National Congress
Alipurduars,West Bengal,Jammu & Kashmir National Conference
Allahabad,Uttar Pradesh,Jammu & Kashmir Peoples Democratic Party
Almora,Uttarakhand,Janata Dal (Secular)
Amalapuram (SC),Andhra Pradesh,Kerala Congress (M)
Ambedkar Nagar,Uttar Pradesh,Mizo National Front
Amethi,Uttar Pradesh,National People's Party
Amravati,Maharashtra,Nationalist Congress Party
Amreli,Gujarat,Nationalist Congress Party – Sharadchandra Pawar
Amritsar,Punjab,Nationalist Democratic Progressive Party
Amroha,Uttar Pradesh,Pattali Makkal Katch
Anakapalle,Andhra Pradesh,Rashtriya Janata Dal
Anand,Gujarat,Samajwadi Party
Anandpur Sahib,Punjab,Shiv Sena
Ananthapur,Andhra Pradesh,Shiv Sena (Uddhav Balasaheb Thackrey)
Andaman & Nicobar Islands,Andaman and Nicobar Islands,Telugu Desam
Aonla,Uttar Pradesh,Vikassheel Insaan Party
Araku (ST),Andhra Pradesh,Yuvajana Sramika Rythu Congress Party
Arambagh,West Bengal,
Araria,Bihar,
Arrah,Bihar,
Arunachal East,Arunachal Pradesh,
Arunachal West,Arunachal Pradesh,
Asansol,West Bengal,
Aska,Odisha,
Attingal,Kerala,
Aurangabad,Maharashtra,
Aurangabad,Bihar,
Azamgarh,Uttar Pradesh,
BALAGHAT,Madhya Pradesh,
BANSWARA,Rajasthan,
BARAMULLA,Jammu & Kashmir,
BARMER,Rajasthan,
BASTAR,Chhattisgarh,
BETUL,Madhya Pradesh,
BHARATPUR,Rajasthan,
BHILWARA,Rajasthan,
BHIND,Madhya Pradesh,
BHIWANI-MAHENDRAGARH,Haryana,
BHOPAL,Madhya Pradesh,
BIKANER,Rajasthan,
BILASPUR,Chhattisgarh,
Badaun,Uttar Pradesh,
Bagalkot,Karnataka,
Baghpat,Uttar Pradesh,
Baharaich,Uttar Pradesh,
Baharampur,West Bengal,
Balasore,Odisha,
Ballia,Uttar Pradesh,
Balurghat,West Bengal,
Banaskantha,Gujarat,
Banda,Uttar Pradesh,
Bangalore North,Karnataka,
Bangalore Rural,Karnataka,
Bangalore South,Karnataka,
Bangalore central,Karnataka,
Bangaon,West Bengal,
Banka,Bihar,
Bankura,West Bengal,
Bansgaon,Uttar Pradesh,
Bapatla (SC),Andhra Pradesh,
Barabanki,Uttar Pradesh,
Baramati,Maharashtra,
Barasat,West Bengal,
Bardhaman Purba,West Bengal,
